objectid,cdmid,title,contributor_description,curator_description,date,location,subject,collecting_area,contributed_by,photographer,digital_collection,publisher,original_format,rights_and_usage,credit_line,latitude,longitude,format
wfmp00050,0,The Carlsen family in the smoke,The Carlsen family,,2018-11-10,,Malibu (Calif.); Universities and colleges; wildfires; natural disasters,Malibu Historical Collection; University Archives,"Carlsen, George","Davis, Steve",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.046453,-118.715385,image/jpeg
wfmp00016,1,Burned home on Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Residential damage after the fire.,2018-11-20,Decker Canyon Road,fires; houses; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00066,2,Burn area at Heroes Garden,,Standing in the charred remains of Heroes Garden surrouned by the burn-scarred hillside.,2018-11-19,Drescher Graduate Campus,fires; ash; memorials; gardens; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Harris, Jerry","Harris, Jerry",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.046199,-118.713358,image/jpeg
wfmp00010,4,Smoke billows over hills,,Looking toward the fire; taken from Elkins Auditorium,2018-11-09,,fires; smoke; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Macdonald, Nicole","Macdonald, Nicole",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.039064,-118.70769,image/jpeg
wfmp00079,6,Students watch smoke approaching campus,Clouds of Smoke covering the sky above Pepperdine,Video of students watching the smoke approach campus.,2018-11-09,Payson Library,fires; smoke; students; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Abracosa, Matt","Abracosa, Matt",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038912,-118.706622,video/mp4
wfmp00054,7,Glow from fire beyond the hills,,A night-time view of the fire from campus.,2018-11-09,Mountains above Pepperdine;,fires; smoke; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00062,9,Dog shelters in Firestone Fieldhouse,Firestone Fieldhouse Stairwell,Photograph of a dog sheltering in the Firestone Fieldhouse stairwell.,2018-11-09,Firestone Fieldhouse,evacuations; dogs; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Gillett, Doug","Gillett, Doug",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038768,-118.709705,image/jpeg
wfmp00045,11,Smoke billows over hills,Taken from Firestone Fieldhouse looking toward Drescher Graduate Campus as smoke accumulates from the fire,,2018-11-09,Firestone Fieldhouse,fires; smoke; students; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Thomasson, Emma","Thomasson, Emma",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038786,-118.709673,image/jpeg
wfmp00013,12,Burned home on Decker Canyon Road,Some shots of surrounding areas near and at the site of our home over weeks and months after fire.,Residential damage after the fire.,2018-11-20,Decker Canyon Road,fires; houses; Malibu (Calif.); wildfires,Malibu Historical Collection; University Archives,"Mullally, Colleen","Mullally, Colleen",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",,,image/jpeg
wfmp00080,13,Fire crests hills,,A night-time view of the fire from campus.,2018-11-09,Mountains above Pepperdine; Payson Library;,fires; smoke; mountains; Pepperdine University; wildfires,Malibu Historical Collection; University Archives,"Abracosa, Matt","Abracosa, Matt",Woolsey Fire Memory Project,Pepperdine University Libraries,Born Digital,"Copyright to materials in this collection, in most cases, is retained by the creator. Materials are intended for educational and research use. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","   Woolsey Fire Memory Project [digital resource], Pepperdine University Special Collections and University Archives",34.038912,-118.706622,image/jpeg
